CustomerID,Segment,RFM Score,Recency,Total Orders,Total Revenue,Churn Risk,Last Purchase Date
12488,Loyal Customers,524,10,3,871.1600000000001,Low Risk,2011-11-30 08:50:00
12489,At Risk,112,336,1,191.43000000000004,High Risk,2011-01-07 13:13:00
12490,Champions,545,5,10,4227.110000000001,Low Risk,2011-12-04 16:07:00
12491,Potential Loyalists,312,39,1,307.90000000000003,Medium Risk,2011-11-01 12:18:00
12492,Potential Loyalists,312,63,2,227.21000000000004,Medium Risk,2011-10-07 15:15:00
12493,Potential Loyalists,213,166,2,320.21,Medium Risk,2011-06-27 10:17:00
12494,Champions,444,16,10,901.7500000000001,Low Risk,2011-11-24 09:34:00
12497,At Risk,211,82,1,20.4,High Risk,2011-09-19 12:29:00
12498,Loyal Customers,423,21,3,314.0,Low Risk,2011-11-18 12:53:00
12500,Loyal Customers,343,36,8,374.69,Low Risk,2011-11-04 10:28:00
12501,Potential Loyalists,115,315,2,1735.76,Medium Risk,2011-01-28 13:54:00
12502,Loyal Customers,234,96,5,1272.47,Low Risk,2011-09-05 11:52:00
12504,Potential Loyalists,411,30,1,60.0,Medium Risk,2011-11-09 14:56:00
12505,Lost Customers,111,301,1,0.0,High Risk,2011-02-11 13:39:00
12506,Lost Customers,111,233,1,45.7,High Risk,2011-04-21 08:54:00
12507,Potential Loyalists,223,156,3,388.75,Medium Risk,2011-07-07 10:20:00
12508,Potential Loyalists,413,26,2,397.88,Medium Risk,2011-11-13 15:37:00
12509,Lost Customers,111,284,1,124.5,High Risk,2011-02-28 14:45:00
12510,At Risk,113,325,1,444.65,High Risk,2011-01-18 14:04:00
12512,At Risk,311,66,2,118.28,High Risk,2011-10-04 14:55:00
12513,Potential Loyalists,213,85,2,520.04,Medium Risk,2011-09-16 12:45:00
12514,Potential Loyalists,114,267,1,630.8800000000001,Medium Risk,2011-03-17 16:38:00
12515,At Risk,112,353,1,155.10000000000002,High Risk,2010-12-21 15:43:00
12516,At Risk,212,78,2,270.48,High Risk,2011-09-23 09:13:00
12517,Champions,435,28,5,2128.25,Low Risk,2011-11-11 13:57:00
12518,Champions,535,1,5,1750.09,Low Risk,2011-12-09 10:13:00
12519,Potential Loyalists,312,64,1,242.83999999999997,Medium Risk,2011-10-07 09:26:00
12520,Loyal Customers,235,79,6,1994.91,Low Risk,2011-09-21 15:23:00
12521,Potential Loyalists,213,143,1,499.03,Medium Risk,2011-07-20 10:51:00
12522,Potential Loyalists,312,39,2,152.72000000000003,Medium Risk,2011-10-31 15:30:00
12523,Champions,544,2,12,1277.91,Low Risk,2011-12-08 11:46:00
12524,Champions,545,9,8,1654.1100000000001,Low Risk,2011-11-30 15:31:00
12526,Loyal Customers,524,1,3,1074.46,Low Risk,2011-12-09 12:09:00
12527,Potential Loyalists,222,82,3,296.71000000000004,Medium Risk,2011-09-19 11:55:00
12528,Champions,544,9,8,1047.23,Low Risk,2011-11-30 14:40:00
12530,Loyal Customers,334,60,5,1033.5700000000002,Low Risk,2011-10-11 12:34:00
12531,Potential Loyalists,411,15,1,95.27,Medium Risk,2011-11-25 11:12:00
12532,Potential Loyalists,412,30,1,297.33,Medium Risk,2011-11-09 13:47:00
12534,Potential Loyalists,214,131,1,798.38,Medium Risk,2011-08-01 10:26:00
12535,Potential Loyalists,213,92,2,577.8499999999999,Medium Risk,2011-09-09 08:48:00
12536,Loyal Customers,515,8,2,3553.02,Low Risk,2011-12-02 12:43:00
12538,Potential Loyalists,412,29,1,258.75,Medium Risk,2011-11-10 17:16:00
12539,Champions,435,22,4,3839.5,Low Risk,2011-11-17 13:30:00
12540,Champions,445,20,17,7556.49,Low Risk,2011-11-20 11:31:00
12541,Loyal Customers,424,30,3,700.5300000000001,Low Risk,2011-11-10 10:40:00
12544,Potential Loyalists,412,30,2,284.90000000000003,Medium Risk,2011-11-10 11:12:00
12545,Potential Loyalists,214,75,2,698.8000000000001,Medium Risk,2011-09-25 13:39:00
12546,Potential Loyalists,314,47,2,969.58,Medium Risk,2011-10-24 12:09:00
12547,At Risk,112,198,2,151.8,High Risk,2011-05-26 12:38:00
12548,At Risk,211,166,1,67.19999999999999,High Risk,2011-06-26 15:35:00
12550,Potential Loyalists,214,79,1,661.9799999999998,Medium Risk,2011-09-21 14:35:00
12551,At Risk,112,358,1,168.0,High Risk,2010-12-17 11:23:00
12552,At Risk,311,40,1,146.72,High Risk,2011-10-31 12:11:00
12553,Champions,545,8,13,2844.45,Low Risk,2011-12-01 16:38:00
12556,Potential Loyalists,313,50,2,468.40999999999997,Medium Risk,2011-10-20 13:06:00
12558,Potential Loyalists,512,2,2,195.07999999999998,Medium Risk,2011-12-08 10:14:00
12559,At Risk,112,320,1,301.40999999999997,High Risk,2011-01-24 10:12:00
12560,Champions,525,5,3,1746.16,Low Risk,2011-12-04 13:54:00
12561,At Risk,112,303,1,193.54999999999998,High Risk,2011-02-10 11:39:00
12562,Champions,545,8,7,2648.19,Low Risk,2011-12-01 17:20:00
12564,At Risk,113,261,1,318.29999999999995,High Risk,2011-03-23 14:55:00
12565,Lost Customers,111,282,2,145.92000000000002,High Risk,2011-03-03 11:43:00
12566,At Risk,212,73,2,222.13,High Risk,2011-09-28 09:57:00
12567,Champions,445,23,11,6359.28,Low Risk,2011-11-17 11:02:00
12569,Champions,545,2,29,2633.29,Low Risk,2011-12-07 16:24:00
12571,Potential Loyalists,313,40,2,489.37,Medium Risk,2011-10-31 10:19:00
12572,Loyal Customers,524,9,3,608.6199999999999,Low Risk,2011-12-01 09:20:00
12573,At Risk,112,227,1,150.59,High Risk,2011-04-26 15:52:00
12574,At Risk,112,316,1,162.54999999999998,High Risk,2011-01-28 09:20:00
12576,Loyal Customers,334,36,6,1225.31,Low Risk,2011-11-04 10:11:00
12577,Potential Loyalists,323,35,3,551.1999999999999,Medium Risk,2011-11-04 13:24:00
12578,Champions,435,21,4,2119.0600000000004,Low Risk,2011-11-18 13:30:00
12579,Potential Loyalists,213,73,2,329.12,Medium Risk,2011-09-27 13:57:00
12580,At Risk,113,247,1,379.7,High Risk,2011-04-07 10:24:00
12581,Potential Loyalists,312,40,1,169.76,Medium Risk,2011-10-31 08:56:00
12582,At Risk,113,239,2,313.91999999999996,High Risk,2011-04-15 08:45:00
12583,Champions,545,3,16,5120.29,Low Risk,2011-12-07 08:07:00
12584,Champions,544,4,16,996.2500000000001,Low Risk,2011-12-06 09:35:00
12585,Potential Loyalists,134,234,4,1148.8499999999997,Medium Risk,2011-04-19 13:39:00
12586,Potential Loyalists,412,17,1,173.84000000000003,Medium Risk,2011-11-22 16:24:00
12587,Potential Loyalists,511,8,1,104.0,Medium Risk,2011-12-02 12:47:00
12588,At Risk,311,39,1,79.65,High Risk,2011-10-31 15:01:00
12589,Potential Loyalists,413,29,2,417.28000000000003,Medium Risk,2011-11-11 10:19:00
12590,At Risk,113,190,2,539.76,High Risk,2011-06-02 14:25:00
12591,At Risk,113,317,1,323.0999999999999,High Risk,2011-01-26 14:35:00
12592,Potential Loyalists,213,92,2,350.6,Medium Risk,2011-09-08 15:04:00
12593,Potential Loyalists,223,109,3,382.0999999999999,Medium Risk,2011-08-23 12:43:00
12594,Champions,345,47,8,2621.9300000000003,Low Risk,2011-10-24 12:44:00
12596,Potential Loyalists,312,51,2,288.27000000000004,Medium Risk,2011-10-19 13:02:00
12597,Champions,435,19,5,2423.7200000000003,Low Risk,2011-11-20 13:33:00
12598,Champions,545,10,7,2040.9299999999998,Low Risk,2011-11-30 12:18:00
12599,Champions,444,29,7,764.3800000000001,Low Risk,2011-11-10 13:34:00
12600,Loyal Customers,443,29,9,568.2199999999998,Low Risk,2011-11-11 10:29:00
12601,Potential Loyalists,133,190,5,338.6599999999999,Medium Risk,2011-06-03 10:17:00
12602,At Risk,311,59,1,129.22,High Risk,2011-10-12 11:22:00
12604,At Risk,212,79,2,236.17999999999995,High Risk,2011-09-21 14:08:00
12605,Lost Customers,111,365,1,0.0,High Risk,2010-12-09 15:41:00
12607,Loyal Customers,315,58,2,1490.26,Low Risk,2011-10-12 16:17:00
12609,Potential Loyalists,224,78,3,790.7600000000001,Medium Risk,2011-09-22 16:34:00
12610,Champions,435,23,6,1449.29,Low Risk,2011-11-17 09:34:00
12611,Potential Loyalists,314,52,1,888.82,Medium Risk,2011-10-18 13:12:00
12612,Potential Loyalists,313,58,2,424.65000000000003,Medium Risk,2011-10-13 12:12:00
12613,Champions,435,31,5,2850.7000000000003,Low Risk,2011-11-08 13:30:00
12614,At Risk,112,278,1,179.25,High Risk,2011-03-07 10:22:00
12615,Champions,535,2,4,1415.89,Low Risk,2011-12-07 15:02:00
12616,Potential Loyalists,223,95,3,386.79999999999995,Medium Risk,2011-09-05 15:17:00
12617,Potential Loyalists,413,29,1,333.08000000000004,Medium Risk,2011-11-10 14:39:00
12618,Potential Loyalists,411,22,1,103.56,Medium Risk,2011-11-18 11:10:00
12619,Champions,444,16,11,681.0200000000001,Low Risk,2011-11-23 14:52:00
12620,Loyal Customers,424,15,3,1092.64,Low Risk,2011-11-25 10:20:00
12621,Champions,545,2,22,7554.58,Low Risk,2011-12-08 11:25:00
12622,Lost Customers,111,232,1,123.85,High Risk,2011-04-21 16:39:00
12623,At Risk,112,276,1,269.1,High Risk,2011-03-08 13:50:00
12624,Potential Loyalists,213,106,2,439.2299999999999,Medium Risk,2011-08-25 15:04:00
12625,Potential Loyalists,125,212,3,1585.32,Medium Risk,2011-05-12 09:54:00
12626,Champions,445,23,13,4789.1900000000005,Low Risk,2011-11-16 16:06:00
12627,Champions,535,11,6,3621.75,Low Risk,2011-11-29 12:07:00
12628,Champions,534,4,4,629.76,Low Risk,2011-12-05 13:15:00
12630,Loyal Customers,514,10,2,887.23,Low Risk,2011-11-30 10:48:00
12631,Potential Loyalists,313,57,1,360.3,Medium Risk,2011-10-13 13:53:00
12633,Loyal Customers,335,59,5,1367.44,Low Risk,2011-10-12 11:40:00
12635,Potential Loyalists,215,90,2,1357.6900000000003,Medium Risk,2011-09-11 11:04:00
12637,Champions,345,67,9,4962.79,Low Risk,2011-10-03 13:46:00
12638,Potential Loyalists,313,33,1,485.75000000000006,Medium Risk,2011-11-06 13:11:00
12639,At Risk,113,239,1,325.3,High Risk,2011-04-15 12:48:00
12640,Loyal Customers,423,24,3,578.1800000000001,Low Risk,2011-11-16 11:52:00
12641,At Risk,211,115,1,128.9,High Risk,2011-08-16 13:26:00
12642,Loyal Customers,424,25,3,731.0699999999999,Low Risk,2011-11-14 15:03:00
12643,Lost Customers,111,221,2,73.28,High Risk,2011-05-03 12:03:00
12644,Potential Loyalists,213,130,1,417.12,Medium Risk,2011-08-02 10:33:00
12645,Loyal Customers,335,34,5,1406.1799999999998,Low Risk,2011-11-06 12:38:00
12646,Loyal Customers,514,5,2,838.1600000000001,Low Risk,2011-12-05 10:14:00
12647,Champions,445,22,12,1688.6699999999998,Low Risk,2011-11-17 12:56:00
12648,At Risk,212,155,1,255.29999999999995,High Risk,2011-07-08 11:55:00
12649,Potential Loyalists,233,107,4,513.05,Medium Risk,2011-08-24 14:41:00
12650,Potential Loyalists,512,3,1,242.44,Medium Risk,2011-12-06 16:34:00
12651,Lost Customers,111,335,1,96.15,High Risk,2011-01-09 12:46:00
12652,Potential Loyalists,114,322,2,732.28,Medium Risk,2011-01-21 17:01:00
12653,Potential Loyalists,214,149,2,752.81,Medium Risk,2011-07-14 10:41:00
12654,Loyal Customers,533,11,5,499.33,Low Risk,2011-11-29 10:10:00
12656,Champions,445,17,7,1804.5,Low Risk,2011-11-22 13:42:00
12657,Champions,534,11,4,623.0,Low Risk,2011-11-28 15:47:00
12658,Potential Loyalists,413,19,1,452.1,Medium Risk,2011-11-21 10:22:00
12659,Potential Loyalists,411,30,1,45.6,Medium Risk,2011-11-10 11:53:00
12660,Potential Loyalists,512,11,1,168.0,Medium Risk,2011-11-28 13:26:00
12662,Champions,545,1,12,3246.58,Low Risk,2011-12-09 11:59:00
12664,Loyal Customers,333,59,4,406.80000000000007,Low Risk,2011-10-12 11:43:00
12665,Lost Customers,111,325,2,45.0,High Risk,2011-01-19 08:34:00
12667,Potential Loyalists,313,58,1,410.23,Medium Risk,2011-10-12 17:00:00
12668,Champions,535,7,6,2546.9,Low Risk,2011-12-02 15:10:00
12669,Potential Loyalists,215,151,2,1319.92,Medium Risk,2011-07-12 09:54:00
12670,Champions,535,10,6,1980.37,Low Risk,2011-11-29 15:23:00
12672,Lost Customers,111,330,1,144.45,High Risk,2011-01-14 09:20:00
12673,Loyal Customers,513,5,2,504.62,Low Risk,2011-12-04 13:55:00
12674,Champions,534,12,6,1289.5400000000002,Low Risk,2011-11-28 12:22:00
12676,Loyal Customers,434,25,6,1031.3899999999999,Low Risk,2011-11-15 12:25:00
12678,Champions,345,43,9,1359.8,Low Risk,2011-10-28 07:39:00
12679,Loyal Customers,334,52,6,612.86,Low Risk,2011-10-18 13:43:00
12680,Champions,534,1,4,736.9700000000001,Low Risk,2011-12-09 12:50:00
12681,Champions,445,15,24,9352.75,Low Risk,2011-11-25 11:33:00
12682,Champions,545,4,30,7168.490000000001,Low Risk,2011-12-06 10:00:00
12683,Champions,545,4,16,5105.91,Low Risk,2011-12-05 16:28:00
12684,Champions,535,8,6,1646.1899999999998,Low Risk,2011-12-02 09:53:00
12685,Champions,435,28,6,2419.7999999999997,Low Risk,2011-11-11 13:46:00
12686,Lost Customers,111,372,1,71.14,High Risk,2010-12-03 09:51:00
12688,Potential Loyalists,215,114,1,2594.9399999999996,Medium Risk,2011-08-18 08:49:00
12689,Loyal Customers,414,26,2,995.21,Low Risk,2011-11-14 08:31:00
12690,At Risk,112,206,1,186.10999999999999,High Risk,2011-05-18 09:09:00
12691,Loyal Customers,334,58,4,602.0,Low Risk,2011-10-12 12:54:00
12693,Potential Loyalists,233,127,5,440.81,Medium Risk,2011-08-04 17:51:00
12694,Potential Loyalists,313,70,2,434.92,Medium Risk,2011-09-30 13:06:00
12695,Loyal Customers,532,7,4,253.91,Low Risk,2011-12-02 13:22:00
12697,Loyal Customers,434,21,5,676.7099999999999,Low Risk,2011-11-18 16:17:00
12700,Champions,535,8,4,3861.6400000000003,Low Risk,2011-12-02 10:47:00
12701,Potential Loyalists,214,80,2,638.95,Medium Risk,2011-09-21 10:47:00
12702,Potential Loyalists,412,20,1,183.15000000000003,Medium Risk,2011-11-20 10:36:00
12703,Potential Loyalists,312,64,2,265.55,Medium Risk,2011-10-06 19:23:00
12704,Champions,544,7,8,1025.6799999999998,Low Risk,2011-12-02 13:15:00
12705,Champions,445,15,13,4871.1,Low Risk,2011-11-24 13:17:00
12707,At Risk,113,292,1,375.82000000000005,High Risk,2011-02-21 08:38:00
12708,Champions,445,30,16,2097.11,Low Risk,2011-11-10 09:52:00
12709,Champions,545,3,24,4435.32,Low Risk,2011-12-06 16:42:00
12710,Potential Loyalists,224,97,3,909.8200000000002,Medium Risk,2011-09-04 12:00:00
12712,Champions,445,29,15,1411.23,Low Risk,2011-11-11 08:19:00
12713,Loyal Customers,514,1,1,722.8500000000001,Low Risk,2011-12-09 12:16:00
12714,Champions,535,9,5,3531.7799999999997,Low Risk,2011-11-30 15:43:00
12715,At Risk,212,106,1,263.35999999999996,High Risk,2011-08-25 15:22:00
12716,Loyal Customers,514,4,2,912.9099999999999,Low Risk,2011-12-06 08:55:00
12717,Potential Loyalists,214,151,2,719.28,Medium Risk,2011-07-11 14:47:00
12718,At Risk,212,71,1,164.5,High Risk,2011-09-29 16:38:00
12719,Loyal Customers,523,5,3,480.70000000000005,Low Risk,2011-12-04 13:45:00
12720,Champions,545,3,27,4199.74,Low Risk,2011-12-07 08:03:00
12721,Champions,445,32,7,2042.14,Low Risk,2011-11-08 12:13:00
12722,Potential Loyalists,214,115,2,699.1,Medium Risk,2011-08-17 08:50:00
12723,Loyal Customers,533,4,4,562.48,Low Risk,2011-12-06 10:19:00
12724,Champions,534,5,4,893.0599999999998,Low Risk,2011-12-04 16:02:00
12725,At Risk,113,371,1,359.9,High Risk,2010-12-03 15:45:00
12726,Champions,445,28,7,1550.1,Low Risk,2011-11-11 13:35:00
12727,Champions,545,11,8,2242.5200000000004,Low Risk,2011-11-29 11:46:00
12728,Potential Loyalists,233,71,4,565.33,Medium Risk,2011-09-29 15:31:00
12729,Potential Loyalists,213,114,1,346.8100000000001,Medium Risk,2011-08-18 11:40:00
12731,Champions,445,24,11,5370.990000000001,Low Risk,2011-11-16 11:59:00
12732,At Risk,112,180,1,178.26000000000005,High Risk,2011-06-13 11:33:00
12733,At Risk,112,234,1,242.10000000000005,High Risk,2011-04-19 16:19:00
12734,Lost Customers,111,353,1,110.39999999999999,High Risk,2010-12-22 12:47:00
12735,At Risk,113,315,2,339.37,High Risk,2011-01-28 13:37:00
12736,Lost Customers,111,333,1,93.6,High Risk,2011-01-11 07:57:00
12738,Lost Customers,111,372,1,110.4,High Risk,2010-12-02 18:27:00
12739,Potential Loyalists,213,99,1,516.0000000000001,Medium Risk,2011-09-01 17:45:00
12740,Potential Loyalists,313,64,1,344.79999999999995,Medium Risk,2011-10-07 10:44:00
12743,Potential Loyalists,213,134,2,358.53,Medium Risk,2011-07-28 16:21:00
12744,Loyal Customers,335,56,4,3394.4300000000003,Low Risk,2011-10-14 14:54:00
12747,Champions,545,2,11,1752.6100000000001,Low Risk,2011-12-07 14:34:00
12748,Champions,545,1,199,18994.88,Low Risk,2011-12-09 12:20:00
12749,Champions,545,4,7,2498.43,Low Risk,2011-12-06 09:56:00
12750,At Risk,212,129,1,184.98,High Risk,2011-08-03 09:13:00
12752,Potential Loyalists,213,81,1,568.52,Medium Risk,2011-09-19 13:32:00
12753,Champions,545,4,11,1578.2200000000003,Low Risk,2011-12-06 11:40:00
12754,Lost Customers,111,277,2,61.62,High Risk,2011-03-07 13:38:00
12755,Lost Customers,111,281,1,1.65,High Risk,2011-03-04 12:42:00
12756,At Risk,211,87,1,50.879999999999995,High Risk,2011-09-14 09:31:00
12757,Champions,445,16,8,3109.7999999999997,Low Risk,2011-11-24 12:30:00
12758,Potential Loyalists,215,117,2,1468.59,Medium Risk,2011-08-15 10:22:00
12759,Loyal Customers,324,52,3,1253.2900000000002,Low Risk,2011-10-18 14:49:00
12762,Loyal Customers,514,8,2,1188.3000000000002,Low Risk,2011-12-02 10:23:00
12763,At Risk,113,369,1,320.08000000000004,High Risk,2010-12-05 15:46:00
12764,Potential Loyalists,114,317,1,697.0300000000001,Medium Risk,2011-01-27 10:19:00
12766,Champions,545,4,7,5415.17,Low Risk,2011-12-06 08:46:00
12769,Potential Loyalists,114,239,1,689.9999999999999,Medium Risk,2011-04-15 10:25:00
